utterance_id,conversation_id,agent,message,topic
521,23,agent_1,"Every time a new state is added to the United States, we gain two senators.",
522,23,agent_2,true but that has been some time.,
523,23,agent_1,"Yes, over 50 years.  If Puerto Rico becomes a state, we will have 102 senators",
524,23,agent_2,I don't see that happening especially with who the current president is,
525,23,agent_1,I agree.  Did you know that women weren't allowed to wear pants as a senator until 1993?,
526,23,agent_2,I remember that. It caused a big stink. I think sometimes our elected leaders are still stuck in those days still,
527,23,agent_1,But the senate does keep candy by the entrance to the chamber.,
528,23,agent_2,I wonder who eats the most candy...lol,
529,23,agent_1,It must keep attendance. up.,
530,23,agent_2,I am watching the news right now and a live stream of senate floor and I don't see anyone grabbing any candy from the dish at the moment. lol,
531,23,agent_1,Did you know that there are dedicated subways to shuttle congressmen between the Capitol and their offices?,
532,23,agent_2,I did.  I have been watching teh Senators this week take the hallway to the subway a lot on the media when they do interviews,
533,23,agent_1,It's a good place to hide out.,
534,23,agent_2,Our current president is make life difficult for the Senate. Hemight be wealthy but he is no JFK or Washington for sure,
535,23,agent_1,"They say that the richest presidents were Washington, Jefferson and JFK.  I wonder where Trump ranks..",
536,23,agent_2,I would guess the bottom,
537,23,agent_1,But he still gets to keep the money.  And it used to be that the Vice President was the runner up in the Presidential election.  Can you imagine VP Clinton with President Trump?,
538,23,agent_2,That would be awesome right now,
539,23,agent_1,He was elected because people were sick of Washington business as usual.  And we got someone who is the anti-Washington business as usual.,
540,23,agent_2,Good in concept but a horrible choice for a practitioner,
541,23,agent_1,It's been good talking to you.  Enjoy the holidays!,
542,24,agent_1,Do you like comedies?,
543,24,agent_2,I sure do. Did you know Chapman from Monty Python was a doctor?,
544,24,agent_1,"No, I didn't know that. Are you a Bill Murray fan?",
545,24,agent_2,Yes he gave up his practice to turn to comedy. Yes I sure am,
546,24,agent_1,"Interesting. I liked the movie Groundhog day, have you seen it?",
547,24,agent_2,"Nice I do not think I have seen it, it is any good?",
548,24,agent_1,It's pretty good. Not as good as Stripes though.,
549,24,agent_2,DO you ever watch the COmedy Central?,
550,24,agent_1,I don't anymore. I heard they cancel too many shows. Any idea how many?,
551,24,agent_2,They have cancelled more than 100 since 1989,
552,24,agent_1,"Wholly Molly! That is a lot, do you know why?",
553,24,agent_2,Maybe they just were not up to what they wanted? Just guessing though,
554,24,agent_1,"Interesting. By the way, do you watch TV?",
555,24,agent_2,Yes I do. Do you ever watch the SNL?,
556,24,agent_1,"No, it is horrible. I used to a long time ago when it was funny. What about your?",
557,24,agent_2,I watch the Weekend Update sometimes which is the longest running skit there,
558,24,agent_1,"Yeah, I know it. I remember when Dennis Miller used to host it. That was when it was good. Now, eh....",
