,topic,utterance_id,message,conversation_id
1,Politics,521,"Every time a new state is added to the United States, we gain two senators.",23
0,Other,522,true but that has been some time.,23
1,Politics,523,"Yes, over 50 years.  If Puerto Rico becomes a state, we will have 102 senators",23
1,Politics,524,I don't see that happening especially with who the current president is,23
1,Other,525,I agree.  Did you know that women weren't allowed to wear pants as a senator until 1993?,23
1,Other,526,I remember that. It caused a big stink. I think sometimes our elected leaders are still stuck in those days still,23
1,Politics,527,But the senate does keep candy by the entrance to the chamber.,23
1,Phatic,528,I wonder who eats the most candy...lol,23
1,Phatic,529,It must keep attendance. up.,23
1,Other,530,I am watching the news right now and a live stream of senate floor and I don't see anyone grabbing any candy from the dish at the moment. lol,23
1,Politics,531,Did you know that there are dedicated subways to shuttle congressmen between the Capitol and their offices?,23
1,Other,532,I did.  I have been watching teh Senators this week take the hallway to the subway a lot on the media when they do interviews,23
1,Other,533,It's a good place to hide out.,23
1,Politics,534,Our current president is make life difficult for the Senate. Hemight be wealthy but he is no JFK or Washington for sure,23
1,Politics,535,"They say that the richest presidents were Washington, Jefferson and JFK.  I wonder where Trump ranks..",23
1,Other,536,I would guess the bottom,23
1,Politics,537,But he still gets to keep the money.  And it used to be that the Vice President was the runner up in the Presidential election.  Can you imagine VP Clinton with President Trump?,23
1,Phatic,538,That would be awesome right now,23
1,Politics,539,He was elected because people were sick of Washington business as usual.  And we got someone who is the anti-Washington business as usual.,23
1,Other,540,Good in concept but a horrible choice for a practitioner,23
1,Phatic,541,It's been good talking to you.  Enjoy the holidays!,23
0,Entertainment,542,Do you like comedies?,24
1,Celebrities,543,I sure do. Did you know Chapman from Monty Python was a doctor?,24
1,Celebrities,544,"No, I didn't know that. Are you a Bill Murray fan?",24
1,Other,545,Yes he gave up his practice to turn to comedy. Yes I sure am,24
0,Entertainment,546,"Interesting. I liked the movie Groundhog day, have you seen it?",24
1,Phatic,547,"Nice I do not think I have seen it, it is any good?",24
0,Other,548,It's pretty good. Not as good as Stripes though.,24
1,Movies_TV,549,DO you ever watch the COmedy Central?,24
1,Phatic,550,I don't anymore. I heard they cancel too many shows. Any idea how many?,24
0,Phatic,551,They have cancelled more than 100 since 1989,24
1,Other,552,"Wholly Molly! That is a lot, do you know why?",24
1,Phatic,553,Maybe they just were not up to what they wanted? Just guessing though,24
1,Phatic,554,"Interesting. By the way, do you watch TV?",24
1,Movies_TV,555,Yes I do. Do you ever watch the SNL?,24
0,Other,556,"No, it is horrible. I used to a long time ago when it was funny. What about your?",24
1,Movies_TV,557,I watch the Weekend Update sometimes which is the longest running skit there,24
1,Celebrities,558,"Yeah, I know it. I remember when Dennis Miller used to host it. That was when it was good. Now, eh....",24
1,Movies_TV,559,Yeah. Do you ever watch the SImpsons?,24
0,Other,560,"I used to when I was younger, not so much now. Well, nice chatting with you!",24
1,Phatic,561,"Same here, and have a great one",24
1,Sports,563,"Hello there, do you follow baseball at all?",25
1,Sports,564,"I know a little bit, I usually watch around tournament times.  I know it is so popular in Japan they were surprised America claimed it as their pastime.",25
0,Phatic,565,"Yeah that is so interesting how popular it is over there, and how the young people are so surprised when they hear it wasn't invented there.",25
1,Sports,566,Did you know that until 2005 a married couple scheduled all of the games for the season?,25
1,Sports,567,"No, that is awesome though!  I wonder how they ever got into that job in the first place?",25
1,Sports,568,"I dont know, but scheduling out all 2430 games must be no easy task.",25
1,Sports,569,"No it can't be, and not all teams have roofs on their ballparks and all the different climates and all, tough work.",25
1,Sports,570,Do you know why managers wear uniforms?,25
1,Sports,571,I read that they are able to play if needed!  That would be so cool (barring major injury) to see your manager take a bat!,25
1,Sports,572,I wonder if it has ever been a need?  But it would be neat to see them step up,25
1,Phatic,573,"Yeah I think I am going to look that up, very interesting baseball fact if it did happen.",25
1,Other,574,"I ve heard that old baseball cards can be worth millions, I never collected as a kid, but my brother did.",25
